FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
Malachi Flynn,Tor,G,23.78,34,9,18.7,17,8.3,9,0.667,52,0.423,55,0.291,0.43,0.442,2.9,1.1,6.8,1.1,16.7,0.41,0.09,0.29,6.8,101.9,103.4
Malcolm Brogdon,Ind,G,29.19,28,33.4,69.5,24.2,11.6,122,0.861,261,0.529,150,0.307,0.504,0.558,18.5,5.1,8.5,5.9,27.7,0.86,0.39,2.18,9.9,115.1,111.7
Malcolm Hill,Atl,F,26.32,3,15.3,31.9,9.3,0,4,1,3,0.667,5,0.6,0.813,0.871,5.7,2,7.1,0.3,2.9,1.33,0.33,0,3.9,183.3,98.6
Malcolm Hill,Chi,F,26.32,13,11.5,24.1,13.6,4.3,10,0.7,12,0.667,28,0.357,0.575,0.597,4.1,2,9.6,0.2,2.6,0.15,0.15,0.15,4.1,125.7,106.9
Malik Beasley,Min,G,25.23,59,25.3,52.8,20.3,5.1,42,0.762,188,0.431,482,0.353,0.501,0.511,11.9,3,6.2,1.5,8.5,0.51,0.15,0.63,6,105.4,112.8
Malik Fitts,Uta,F,20,7,5,10.4,13.7,18.2,0,0,5,0,4,0.5,0.333,0.333,0.9,1.4,15.6,0,0,0,0,0.29,0,56.7,101.3
Malik Monk,Lal,G,24.04,52,27.1,56.4,19.4,11.4,79,0.772,234,0.56,293,0.399,0.582,0.6,13,3.3,6.5,2.4,13.4,0.75,0.38,1.38,6.9,112.7,109.4
Malik Newman,Cle,G,24.99,1,7.7,16,39.4,14.5,2,1,4,0.75,1,0,0.6,0.68,8,1,7.1,1,29.8,0,0,1,10.4,117.9,112.3
Mamadi Diakite,Okc,F,25.08,13,14.4,30.1,13.3,10.4,11,0.545,42,0.595,5,0,0.532,0.54,4.3,4.5,15.7,0.2,1.7,0.38,0.69,0.46,4.4,109.6,91.6
Marcus Garrett,Mia,G,23.28,12,10.7,22.3,8.7,7.9,5,0.4,17,0.235,4,0.25,0.262,0.28,1.1,1.9,10.1,0.6,7.1,0.42,0.25,0.17,4,89.5,97.6
Marcus Morris Sr.,Lac,F,32.46,36,29.9,62.4,23.2,7.9,98,0.847,287,0.474,196,0.388,0.518,0.554,16.2,4.8,8.4,2.2,11.5,0.56,0.28,1.25,7.4,108.5,105.1
Marcus Smart,Bos,G,27.96,50,32.7,68.2,17.5,15.7,138,0.783,251,0.506,238,0.311,0.487,0.531,11.7,3.9,6.4,5.3,23.6,1.86,0.28,2.04,7.6,109,101.4
Markieff Morris,Mia,F,32.46,10,18.7,39,19.9,14.3,5,1,48,0.5,22,0.364,0.514,0.533,7.7,2.8,8.4,1.4,11.7,0.3,0.1,1.2,6.7,104.7,101
Marko Simonovic,Chi,C,22.35,9,3.9,8.1,27.3,9.2,11,0.727,10,0.3,5,0.2,0.3,0.428,1.9,1.1,15.8,0,0,0.11,0.11,0.22,0,,
Markus Howard,Den,G,22.97,22,6.1,12.7,28,7,14,0.929,20,0.2,53,0.434,0.527,0.568,4.1,0.3,2.5,0.3,6.9,0.32,0,0.27,4.7,106.7,106.4
Marquese Chriss,Dal,F,24.63,23,11.1,23.2,22.1,13.5,19,0.632,80,0.513,21,0.333,0.51,0.526,5,3.5,17.1,0.5,7.5,0.48,0.43,0.74,7.4,101.9,86.1
Marvin Bagley III,Sac,F,22.93,30,21.9,45.6,18.7,7.3,47,0.745,184,0.538,62,0.242,0.494,0.521,9.3,7.2,17.6,0.6,3.9,0.3,0.37,0.7,6.3,111,108.6
Marvin Bagley III,Det,F,22.93,2,22,45.8,20.5,4.7,7,0.286,16,0.438,1,0,0.412,0.398,8,7,17.1,0.5,3.7,0,0,0.5,5.5,91,115.5
Mason Jones,Lal,G,23.58,2,4.4,9.2,48.3,10.1,2,0.5,6,0.333,2,0,0.25,0.282,2.5,1,12,0,0,0.5,0,0.5,0,60.1,98.6
Mason Plumlee,Cha,F-C,31.96,51,25.5,53,11.6,19.6,116,0.379,234,0.637,2,0,0.631,0.596,6.7,8.1,16.5,3.1,16.1,0.88,0.61,1.37,8.7,121.9,101.2
Matisse Thybulle,Phi,G-F,24.96,43,26.4,54.9,9.5,11.8,23,0.696,95,0.716,105,0.286,0.565,0.576,5.6,2.3,4.7,1.2,6.1,1.79,1.09,0.65,3.8,111.3,104.2
Matt Mooney,Nyk,G,25.03,1,1.9,4,46.3,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,
Matt Thomas,Chi,G,27.54,35,12.8,26.7,14,5.6,20,0.8,40,0.425,86,0.384,0.528,0.553,4.3,1.4,6,0.6,5.8,0.23,0.09,0.23,4.8,110.9,112.9
Maurice Harkless,Sac,F-G,28.78,41,19.9,41.4,11.3,13.5,28,0.714,77,0.636,97,0.309,0.54,0.558,5.1,2.6,6.9,0.5,3.6,0.66,0.56,0.71,3.8,101.8,109.6
Max Strus,Mia,G-F,25.89,47,23.8,49.6,18,8.1,43,0.767,95,0.547,304,0.401,0.589,0.602,10.7,3.2,7.5,1.3,8.2,0.32,0.21,0.79,6,115.7,105.3
Maxi Kleber,Dal,F,30.06,42,25.3,52.6,13.2,9.9,48,0.771,69,0.609,191,0.372,0.571,0.594,8,6,13,1.1,6.2,0.5,1.05,0.74,5.9,118.5,100
McKinley Wright IV,Min,G,23.32,3,2.9,6,19.4,25,0,0,1,1,2,0.5,0.833,0.833,1.7,0,0,0.3,18.9,0,0,0.33,0,,
Micah Potter,Det,F,23.87,3,10.3,21.5,17.8,7.8,2,1,9,0.556,2,0,0.455,0.505,4,3,15.7,0,0,0.33,0.33,0.33,0,108.4,102.7
Michael Porter Jr.,Den,F,23.64,9,29.5,61.4,19.8,10.1,9,0.556,55,0.491,48,0.208,0.408,0.416,9.9,6.6,12.4,1.9,9,1.11,0.22,1.33,6.8,86.5,105.8
Mikal Bridges,Pho,F,25.47,58,34.8,72.5,14.3,6.9,94,0.84,362,0.63,219,0.365,0.599,0.623,13.4,4.3,6.6,2.1,8.2,1.21,0.43,0.79,5.7,124.8,105.5
Mike Conley,Uta,G,34.36,52,28.3,58.9,20.9,12.3,117,0.838,268,0.47,300,0.41,0.547,0.58,13.8,3.1,5.9,5.3,27.7,1.19,0.33,1.67,8.6,121.2,106.2
Mike Muscala,Okc,F-C,30.64,43,13.8,28.7,21,4.9,57,0.842,85,0.506,163,0.429,0.597,0.63,8,3,11,0.5,6.4,0.42,0.6,0.33,6.6,124.3,101.3
Miles Bridges,Cha,F,23.92,58,36.3,75.5,22.4,10.2,242,0.798,552,0.589,344,0.308,0.54,0.579,20,7.2,10.4,3.6,14.9,1.03,0.9,1.97,8.9,113.6,108.4
Miles McBride,Nyk,G,21.44,21,7.2,15,18.3,4.8,4,0.75,27,0.37,31,0.161,0.302,0.318,1.8,0.8,5.6,1.1,22.5,0.38,0.05,0.14,6.5,85.8,102.9
Mitchell Robinson,Nyk,C-F,23.89,53,25.4,53,11.3,11.6,131,0.519,248,0.762,0,0,0.762,0.73,8.4,8.7,18.3,0.4,2.7,0.64,1.66,0.75,4.9,145.4,100.9
Miye Oni,Uta,G-F,24.54,16,2.8,5.8,10.3,9.6,1,0,1,1,8,0.125,0.278,0.265,0.3,0.4,8.6,0.3,14.1,0,0,0.06,4.7,,
MJ Walker,Pho,G,23.9,2,4.2,8.8,20.5,0,0,0,2,0,2,0,0,0,0,0.5,6.3,0.5,13.2,1,0,0,0,17.4,85.4
Mo Bamba,Orl,C,23.77,49,26,54.1,16.9,12.3,50,0.8,232,0.565,180,0.344,0.544,0.562,10,7.9,16.2,1.3,7.9,0.59,1.86,1.24,7.2,109.9,104
Monte Morris,Den,G,26.65,52,30,62.5,17.9,8.5,54,0.852,331,0.544,224,0.375,0.551,0.568,12.7,3,5.5,4.3,21.2,0.67,0.15,1.04,7.3,117.5,111.9
Montrezl Harrell,Cha,F-C,28.06,4,32,66.6,19.8,10,25,0.6,43,0.651,0,0,0.651,0.657,17.8,7.5,12.2,1.3,6,0.75,1,1.5,7,125.3,106.9
Montrezl Harrell,Was,F-C,28.06,46,24.3,50.6,20.8,9.6,205,0.727,368,0.66,15,0.267,0.65,0.684,14.1,6.7,15.1,2.1,14.2,0.39,0.67,1.09,9.6,135.3,106.6
Moritz Wagner,Orl,F-C,24.82,45,12.5,26.1,23.4,10.5,79,0.797,114,0.684,124,0.331,0.586,0.627,7.6,2.4,10.4,1.1,15,0.29,0.22,0.71,8.7,118.4,100.7
Moses Brown,Dal,C,22.35,26,6.5,13.5,22.1,16.9,43,0.628,50,0.54,0,0,0.54,0.588,3.1,2.3,19.9,0,0.9,0.12,0.35,0.54,0,106.9,89.4
Moses Moody,Gol,G,19.72,34,9.5,19.7,15.6,6.1,17,0.824,39,0.487,62,0.306,0.47,0.502,3.2,1.4,7.7,0.3,4.8,0.09,0.18,0.21,4.6,103.5,103.8
Moses Wright,Lac,F,23.16,1,1.5,3.1,0,,0,0,0,0,0,0,,,0,0,0,1,80.8,0,0,0,0,,
Mychal Mulder,Orl,G,27.69,15,13,27.1,16.8,10.5,2,1,21,0.333,46,0.283,0.396,0.405,3.7,1.4,5.7,0.2,2.2,0.27,0.07,0.53,3.1,75.9,112.1
Myles Powell,Phi,G,20,11,4.7,9.9,18.1,14.4,2,1,11,0.364,6,0.167,0.324,0.364,1.2,0.5,6.4,0.3,8,0.09,0,0.27,4.8,74,98.7
Myles Turner,Ind,C-F,25.9,42,29.4,61.2,17.2,10.9,105,0.752,210,0.662,183,0.333,0.587,0.615,12.9,7.1,13.3,1,5.3,0.67,2.81,1.29,6.1,117.4,106.1
Naji Marshall,Nor,F,24.07,32,9.6,19.9,20.9,16.3,35,0.857,61,0.492,47,0.213,0.417,0.486,3.8,2.1,11.9,0.8,11.6,0.41,0.13,0.75,7.7,95.8,103.8
Nassir Little,Por,F-G,22.02,42,25.9,54,15.9,10.1,94,0.734,161,0.584,154,0.331,0.541,0.575,9.8,5.6,11.8,1.3,7.3,0.6,0.86,0.95,6.4,115.8,109.5
Nate Hinton,Ind,G-F,22.7,2,1.2,2.5,35.9,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,,
Nathan Knight,Min,F-C,24.41,28,6.9,14.4,18.9,13.7,45,0.711,48,0.521,8,0.25,0.5,0.58,3.1,2.1,16.1,0.5,10.2,0.14,0.25,0.43,8.6,119.3,98.3
Naz Reid,Min,C-F,22.48,56,15.9,33.1,21.4,12.3,111,0.739,232,0.53,120,0.35,0.528,0.566,8.1,3.9,12.8,0.9,8.3,0.43,1.04,1,7.7,111.6,100.9
Neemias Queta,Sac,C,22.6,10,5.6,11.7,22.3,13.7,5,0.6,23,0.391,0,0,0.391,0.417,2.1,1.9,18.2,0.4,10.5,0.1,0.4,0.4,8.3,98.6,97.7
Nemanja Bjelica,Gol,F,33.78,53,15.3,31.9,18.9,16.7,66,0.682,144,0.549,121,0.339,0.53,0.554,6.2,3.9,13.9,1.9,17.9,0.58,0.32,1.11,9.4,108.4,95.7
Nerlens Noel,Nyk,C-F,27.86,25,22.5,46.8,7.3,21.5,30,0.7,57,0.561,3,0,0.533,0.581,3.4,5.6,13.4,0.9,5.7,1.2,1.24,0.8,4.6,119.7,98.3
Nic Claxton,Bro,F-C,22.84,25,21.2,44.2,16,9.2,53,0.566,155,0.639,0,0,0.639,0.639,9.1,5.6,14.2,0.8,5.9,0.48,1.12,0.72,6.5,128.8,104
Nick Richards,Cha,C,24.22,41,8.4,17.5,14.7,17.5,41,0.732,81,0.679,0,0,0.679,0.707,3.4,2,12.2,0.3,5.3,0.22,0.46,0.51,6,125.7,101.4
Nickeil Alexander-Walker,Nor,G,23.46,50,26.3,54.9,25,11.2,97,0.722,327,0.434,305,0.311,0.45,0.474,12.8,3.3,6.9,2.8,16.8,0.82,0.38,1.7,7.5,96.2,110
Nickeil Alexander-Walker,Uta,G,23.46,2,2.6,5.4,8.4,0,0,0,0,0,1,0,0,0,0,0.5,10.4,0,0,0,0,0,0,,
Nicolas Batum,Lac,G-F,33.18,40,24.8,51.7,13.4,9.5,24,0.667,76,0.658,189,0.418,0.636,0.641,8.8,4.5,9.5,1.5,8.8,1,0.73,0.73,6.3,120.5,105.8
Nik Stauskas,Mia,G,28.37,2,11.9,24.7,18.3,0,4,0.75,4,0.25,4,0.5,0.5,0.564,5.5,1.5,7.1,0.5,6.2,0,0,0,5.4,127.7,110.8
Nikola Jokic,Den,C,27,52,33,68.8,31.6,15.9,292,0.808,680,0.635,226,0.372,0.616,0.653,26,13.8,23.2,7.9,43.4,1.33,0.75,3.77,17.2,124.9,100
Nikola Vucevic,Chi,C,31.32,52,33.9,70.6,24.4,10.2,86,0.756,591,0.541,252,0.317,0.522,0.536,18.2,11.7,19.2,3.6,16.5,0.96,1.17,1.92,10.8,108.8,103.6
Norman Powell,Lac,G,28.74,3,26.8,55.8,30.5,9,20,0.85,28,0.5,14,0.429,0.548,0.62,21,3,5.9,4,25.9,0.67,0.67,1.67,9.4,123.8,104.5
Norman Powell,Por,G,28.74,40,33.3,69.4,22.6,9,198,0.803,313,0.492,229,0.406,0.542,0.593,18.7,3.3,5.4,2.1,9.8,1,0.43,1.55,6.1,114.8,111.8
Norvel Pelle,Uta,C,29.04,3,6.3,13.2,16,28.6,0,0,5,0.6,0,0,0.6,0.6,2,2,17.2,0,0,0,0.33,0.67,0,101.7,108.3
Obi Toppin,Nyk,F,23.96,54,15.1,31.4,20.5,10.8,88,0.75,207,0.638,93,0.226,0.545,0.58,7.3,3.6,12.6,0.9,10,0.26,0.43,0.76,7.6,114.6,103.6
OG Anunoby,Tor,F,24.59,42,36.7,76.4,21,9.8,107,0.748,350,0.506,285,0.351,0.515,0.538,17.5,5.5,8.1,2.6,11,1.55,0.57,1.76,6.9,110,106.2
Olivier Sarr,Okc,C,23,2,6.8,14.2,12.4,0,2,1,2,0.5,1,0,0.333,0.515,2,2.5,18.6,0,0,0,1,0,0,113.7,99.7
Omer Yurtseven,Mia,C,23.67,42,14.1,29.4,20,13.4,54,0.63,201,0.552,7,0.143,0.541,0.559,6.2,6,23.7,1,11.9,0.36,0.43,0.86,9.5,114.1,93.1
Onyeka Okongwu,Atl,F-C,21.19,26,21.5,44.7,14.3,16.4,56,0.732,128,0.719,0,0,0.719,0.737,8.7,5.5,14,1.1,7.3,0.65,1.42,1.15,7,136.5,100.7
Oshae Brissett,Ind,F-G,23.67,47,20.3,42.2,16.5,9.8,93,0.634,157,0.471,132,0.333,0.484,0.514,7.2,4.7,12.8,0.8,5.7,0.57,0.4,0.77,5.9,107.8,109.5
Otto Porter Jr.,Gol,F,28.71,48,21.6,44.9,15.2,6.4,37,0.757,143,0.573,179,0.391,0.581,0.594,8.4,5.3,13.2,1.5,10.2,1.08,0.46,0.48,7.5,123.3,100.2
P.J. Dozier,Den,G-F,25.32,18,18.9,39.4,15.2,11,13,0.769,51,0.412,48,0.313,0.439,0.463,5.4,3.5,10.3,1.6,11.4,0.61,0.33,0.72,6.6,100.2,103.3
P.J. Tucker,Mia,F,36.79,52,28.6,59.7,12.2,12.9,54,0.722,173,0.538,160,0.45,0.604,0.618,8.5,5.5,10.9,2.1,10.5,0.81,0.21,1.02,6.5,122.8,102.2
P.J. Washington,Cha,F,23.49,43,25.4,52.9,16.3,13.7,65,0.723,134,0.545,202,0.376,0.557,0.577,9.8,5.6,11.6,2,10.8,0.81,0.93,1.35,7.5,111.2,105.3
Paris Bass,Pho,F,26.48,2,3.7,7.7,51.7,22.5,2,1,4,0.5,2,0,0.333,0.436,3,2,28.7,0,0,0.5,0,1,0,,
Pascal Siakam,Tor,F,27.88,44,37.8,78.8,25.2,12.5,233,0.738,614,0.528,138,0.348,0.527,0.564,21.9,8.7,12.4,5.2,22.6,1.27,0.73,2.77,10.5,114.5,103.2
Pat Connaughton,Mil,G,29.12,54,27,56.2,13.6,6.7,37,0.811,108,0.639,307,0.407,0.618,0.63,10.1,4.4,8.5,1.2,6.3,0.94,0.26,0.57,5.6,124.4,108.1
Patrick Beverley,Min,G,33.6,40,26.4,54.9,15.7,12.6,82,0.707,142,0.5,168,0.333,0.5,0.532,9.2,4.4,8.8,4.9,25.4,1.15,0.95,1.25,8.8,118.2,103
Patrick Williams,Chi,F,20.48,5,24.9,52,9.4,7.5,4,1,17,0.588,6,0.5,0.63,0.666,6.6,2.2,4.9,0.6,3.1,0.6,0.4,0.4,3.3,126.6,109.4
Patty Mills,Bro,G,33.52,58,31.1,64.8,17.3,7.9,48,0.854,201,0.438,444,0.419,0.569,0.582,13.4,2.2,3.8,2.6,11.8,0.74,0.28,0.98,5.5,114.6,113.6
Paul George,Lac,F,31.8,26,35.5,74,34,15.2,117,0.88,339,0.484,217,0.323,0.484,0.528,24.7,7.1,10.5,5.5,26.9,2.04,0.38,4.19,11.1,97.7,102.2
Paul Millsap,Phi,F,37.02,2,10,20.7,26.9,8.4,2,0.5,6,0.5,4,0.5,0.6,0.597,6.5,3.5,19.5,1,17.9,0,0,0.5,11.3,127.3,87.3
Paul Millsap,Bro,F,37.02,24,11.3,23.4,16.5,10.6,17,0.706,58,0.448,27,0.222,0.412,0.443,3.4,3.7,17.7,1,12,0.21,0.46,0.46,8.2,105.3,94.3
Paul Reed,Phi,F,22.68,24,9.5,19.9,14.3,11,10,0.4,56,0.482,4,0,0.45,0.45,2.4,2.7,15.7,0.4,6.3,0.79,0.5,0.33,5.8,108.1,92.7
Paul Watson,Okc,G,27.14,9,17.4,36.2,11.1,10,2,0.5,9,0.667,26,0.231,0.429,0.432,3.4,3,8.8,0.9,7.3,0.33,0.33,0.44,4.8,91,106.7
Payton Pritchard,Bos,G,24.06,49,12.3,25.7,19,12.3,14,1,89,0.404,133,0.361,0.486,0.504,4.7,1.6,6.8,1.7,20.9,0.18,0.08,0.65,7.6,105.5,104
Petr Cornelie,Den,F,26.57,13,2.9,6.1,24.1,19.3,4,0.75,7,0.571,8,0.125,0.367,0.418,1.1,1.1,20.5,0.2,11,0.08,0.08,0.31,8.6,,
Precious Achiuwa,Tor,F,22.42,48,23.1,48.1,16.7,10.9,76,0.579,291,0.447,59,0.305,0.449,0.467,7.5,6.9,16.2,1.1,7.1,0.5,0.58,0.98,6.7,103.1,103.6
Quentin Grimes,Nyk,G,21.78,39,17.9,37.2,15.3,10.4,17,0.647,43,0.512,166,0.398,0.579,0.584,6.5,2,5.9,1,8.4,0.67,0.26,0.64,5.3,113.9,105.8
Quinndary Weatherspoon,Gol,G,25.44,5,6.6,13.8,18.2,21.6,2,1,9,0.667,1,0,0.6,0.643,2.8,1.2,9.8,0.4,9.2,0.2,0.2,0.6,6.7,104.6,86.1
R.J. Hampton,Orl,G,21.03,42,19.4,40.4,19.7,15.1,79,0.608,173,0.393,107,0.364,0.452,0.478,7.2,2.9,8,2.4,19,0.69,0.19,1.33,7.6,94.1,108.4
Rajon Rondo,Cle,G,35.99,13,21.4,44.6,17,20.5,19,0.842,36,0.444,41,0.366,0.5,0.545,7.2,3.5,8.8,4.7,30.7,1.08,0,1.69,9.2,110.1,100.7
Rajon Rondo,Lal,G,35.99,18,16.1,33.5,15.7,32.1,2,0.5,41,0.366,30,0.267,0.38,0.383,3.1,2.7,9,3.7,30.1,0.67,0.28,1.89,7.8,83.8,105.2
Raul Neto,Was,G,29.75,49,20.3,42.3,18.8,14.2,83,0.747,235,0.536,90,0.244,0.489,0.526,7.8,2,5.3,2.8,20.2,0.8,0.02,1.22,6.9,103.4,108.6
Rayjon Tucker,Den,G,24.4,3,9.8,20.3,5.7,0,4,0.75,0,0,2,0.5,0.75,0.798,2,1.3,7.6,1.3,16.7,0.33,0,0,6.1,188.6,103.7
Reggie Bullock,Dal,G-F,30.93,49,25.3,52.8,13.6,6.7,35,0.857,79,0.582,256,0.363,0.554,0.572,8.2,3.4,7.4,1,5.9,0.51,0.12,0.51,4.8,113.3,105.9
Reggie Jackson,Lac,G,31.84,57,30.9,64.3,27,11.4,115,0.835,509,0.45,400,0.325,0.466,0.492,16.6,3.4,5.8,4.5,23.7,0.74,0.18,2.18,8.2,98.6,107.8
Reggie Perry,Por,F-C,21.91,2,20.5,42.6,11.6,9.2,2,1,7,0.429,2,0.5,0.5,0.557,5.5,3.5,9.3,1,6.8,0.5,0,0.5,5.2,118.7,102.5
Reggie Perry,Ind,F-C,21.91,1,9.9,20.6,4.3,0,0,0,1,1,0,0,1,1,2,1,5.6,0,0,0,0,0,0,200,86.9
Richaun Holmes,Sac,F,28.35,41,24.7,51.4,15.9,14.6,87,0.77,279,0.674,5,0.4,0.673,0.697,11,7.4,16,1.1,7,0.41,0.98,1.34,7.2,128.2,104.2
Ricky Rubio,Cle,G,31.33,34,28.5,59.4,24.8,16.5,103,0.854,237,0.38,174,0.339,0.434,0.488,13.1,4.1,7.9,6.6,34.5,1.44,0.21,2.65,9.9,102.3,100.7
RJ Barrett,Nyk,F-G,21.68,48,33.1,68.9,25.9,10.1,223,0.695,472,0.445,271,0.354,0.476,0.513,18,5.7,9.1,2.6,13.5,0.54,0.29,1.96,7.8,102.7,108
RJ Nembhard Jr.,Cle,G,22.91,7,6.2,13,14,14.4,2,0.5,10,0.5,1,0,0.455,0.463,1.6,0.3,2.5,1.4,32.2,0,0,0.29,5.7,108.3,109.8
Rob Edwards,Okc,G,25.08,2,5.5,11.4,19.9,20,0,0,0,0,4,0.25,0.375,0.375,1.5,1.5,14,0,0,0,0,0.5,0,59.8,111.3
Robert Covington,Lac,F,31.18,7,19.5,40.7,17.2,14.9,13,0.769,17,0.706,23,0.304,0.563,0.601,7.9,4.3,11.5,1,7.5,1.29,0.71,1.14,6.6,113,96.1
Robert Covington,Por,F,31.18,48,29.8,62.1,12.5,14.2,36,0.833,106,0.462,230,0.343,0.499,0.519,7.6,5.7,10.4,1.4,6.6,1.54,1.31,1.21,5.3,100.7,105.6
Robert Williams III,Bos,C-F,24.34,47,30,62.4,11.7,15.2,75,0.693,283,0.735,1,0,0.732,0.738,10,9.7,17.3,2,9.9,0.91,2.21,1.21,7.7,144.4,100.2
Robert Woodard II,Sac,F,22.41,12,3.5,7.3,18.1,5.6,2,1,12,0.083,4,0.25,0.156,0.207,0.6,0.9,14,0.3,9,0.08,0.08,0.08,6.2,,
Robin Lopez,Orl,C,33.88,27,17.3,36,19.9,16.8,40,0.575,156,0.577,5,0.4,0.578,0.585,7.7,3.6,11.1,1.6,15.9,0.04,0.59,1.33,8.2,112,107.7
Rodney Hood,Mil,G-F,29.33,39,14.9,31.1,10.6,4.9,14,0.929,51,0.431,80,0.3,0.443,0.47,3.3,1.7,6.1,0.8,6.7,0.31,0.1,0.18,4.4,106.6,110.7
Rodney Hood,Lac,G-F,29.33,2,6.9,14.4,3.2,0,0,0,1,0,0,0,0,0,0,0.5,3.8,0.5,8.8,0,0,0,0,55.1,117.1
Rodney McGruder,Det,G,30.56,33,13.5,28.1,13.6,9.2,14,0.714,49,0.531,73,0.397,0.57,0.581,4.5,1.9,7.5,0.8,9.3,0.39,0.09,0.39,5.6,115.6,110.9
Romeo Langford,Bos,G-F,22.32,44,16.6,34.5,13,7.4,34,0.588,101,0.495,83,0.349,0.508,0.52,4.7,2.4,7.6,0.4,3.7,0.48,0.36,0.36,4,107.6,104.2
Royce O'Neale,Uta,F,28.71,54,31.4,65.4,9.5,13.5,44,0.795,98,0.663,202,0.406,0.627,0.643,7.6,4.9,8.6,2.5,10.3,1.3,0.48,0.93,5.8,127.8,104.1
Rudy Gay,Uta,F-G,35.51,35,20,41.6,19.5,9.6,62,0.79,112,0.518,144,0.34,0.514,0.551,8.9,4.6,12.6,1.1,8,0.57,0.34,0.86,7.1,112.9,101.5
Rudy Gobert,Uta,C,29.65,44,32.1,67,17,14.5,286,0.689,344,0.715,2,0,0.711,0.73,15.7,14.8,25,1.2,5.4,0.75,2.25,1.82,8.1,137.9,98.2
Rui Hachimura,Was,F,24.03,18,18.3,38.2,21.2,8.3,28,0.786,93,0.452,39,0.462,0.523,0.554,8.9,3.3,9.8,1,8.5,0.56,0.28,0.72,6.7,107.5,109.8
Russell Westbrook,Lal,G,33.27,57,34.6,72,27.5,18.2,292,0.668,705,0.475,197,0.299,0.47,0.506,18.3,7.8,11.9,7.5,33.6,1.04,0.26,4.04,11.8,100.6,104.4
Saben Lee,Det,G,22.66,28,14.6,30.3,17.4,15.1,43,0.767,78,0.436,44,0.273,0.426,0.486,4.9,2.4,8.7,2.3,23.8,0.93,0.36,0.89,8.2,102.1,109.4
Saddiq Bey,Det,F,22.86,58,33.6,70.1,21.1,7.6,171,0.83,386,0.435,431,0.346,0.479,0.518,15.9,5.8,9.3,2.8,13.7,0.91,0.22,1.26,7.6,108.1,113
Sam Dekker,Tor,F,27.79,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Sam Hauser,Bos,F,24.2,11,4.9,10.2,15.5,0,0,0,0,0,19,0.368,0.553,0.553,1.9,0.6,6.9,0.4,10.8,0.09,0.09,0,6.3,123,103.3
Sam Merrill,Mem,G,25.76,6,9.6,20.1,19.8,7.2,4,0.5,1,1,23,0.304,0.479,0.485,4.2,1.2,6.3,0.7,9.2,0,0,0.33,6.3,102.9,111.2
Sandro Mamukelashvili,Mil,F-C,22.74,34,9.3,19.3,13.7,10,12,0.75,46,0.522,39,0.385,0.547,0.565,3,1.8,10,0.5,7,0.21,0.21,0.29,6,120.7,108.4
Santi Aldama,Mem,F-C,21.11,27,10.2,21.4,17.1,7.8,20,0.6,58,0.569,39,0.103,0.402,0.425,3.3,2.4,12.1,0.5,6.7,0.07,0.26,0.33,6.2,98.5,104.5
Scottie Barnes,Tor,F,20.55,49,35.4,73.8,18.5,12,146,0.733,463,0.514,131,0.313,0.504,0.536,14.4,7.4,11.4,3.3,14.1,1.02,0.8,1.84,8,112.6,106.4
Scottie Lewis,Cha,G,21.94,2,3.3,6.9,5.6,0,2,0.5,0,0,0,0,,0.568,0.5,0,0,0.5,17.5,0.5,0,0,0,,
Scotty Hopson,Okc,G-F,32.54,1,17.7,36.9,14.7,33.3,0,0,3,0.667,1,0,0.5,0.5,4,1,2.9,1,8.5,0,0,2,3.6,69.4,111.8
Sekou Doumbouya,Lal,F,21.15,2,8.2,17.1,30.9,17,4,0.75,6,0.667,2,0.5,0.688,0.717,7,3,19.4,0,0,1.5,1,1,0,117.9,96
Semi Ojeleye,Lac,F,27.21,2,6.7,14,33.8,19.4,3,0.667,4,0.25,3,0.333,0.357,0.421,3.5,1,7.8,0,0,0,0,1,0,74.5,117
